"";BBIB1.M.DE.B.H.DNB.SPM.K3M.A.N1.11A;BBIB1.M.DE.B.H.DNB.SPM.K3M.A.N1.11A_FLAGS
"";Habenzinsen Banken / Spareinlagen mit Mindest-/Grundverzinsung mit dreimonatiger Kündigungsfrist / Durchschnittssatz / SU0022;
Dezimalstellen;2;
Dimension;Eins;
Einheit;% p.a.;
Format der Zeitangabe;P1M;
Kategorie;ZREK;
Kommentar;Häufigster Zinssatz für das Neugeschäft in der Berichtsperiode (mittleren beiden Wochen der angegebenen Monate). Im November 1970 endete die Erhebung unmittelbar vor der Diskontsenkung. Seit Januar 1991 werden auch die Sätze von Banken aus den neuen Bundesländern in die Zinserhebung einbezogen. Durchschnittssatz als ungewichtetes arithmetisches Mittel aus den innerhalb der Streubreite liegenden Zinsmeldungen errechnet. Die Streubreite wird ermittelt, indem jeweils 5% der Meldungen mit den höchsten und den niedrigsten Zinssätzen ausgesondert werden. Für die Monate Juni, Sept. und Dez. 1967 ist als Durchschnittssatz der aus allen Zinsmeldungen - ohne Aussonderung der Extremwerte - errechnete ungewichtete arithmetische Mittelwert angegeben. Es wird lediglich eine Mindest-/Grundverzinsung, aber keine Prämie bzw. kein Bonus gewährt. Bis Juni 1993 Spareinlagen mit gesetzlicher Kündigungsfrist.;
Stand vom;14.01.2026 10:04:19 Uhr;
1967-06;3,57;
1967-07;.;Kein Wert vorhanden
1967-08;.;Kein Wert vorhanden
1967-09;3,52;
1967-10;.;Kein Wert vorhanden
1967-11;.;Kein Wert vorhanden
1967-12;3,52;
1968-01;.;Kein Wert vorhanden
1968-02;.;Kein Wert vorhanden
1968-03;3,50;
1968-04;.;Kein Wert vorhanden
1968-05;.;Kein Wert vorhanden
1968-06;3,50;
1968-07;.;Kein Wert vorhanden
1968-08;.;Kein Wert vorhanden
1968-09;3,50;
1968-10;.;Kein Wert vorhanden
1968-11;3,50;
1968-12;.;Kein Wert vorhanden
1969-01;.;Kein Wert vorhanden
1969-02;3,50;
1969-03;.;Kein Wert vorhanden
1969-04;.;Kein Wert vorhanden
1969-05;3,50;
1969-06;.;Kein Wert vorhanden
1969-07;.;Kein Wert vorhanden
1969-08;4,00;
1969-09;.;Kein Wert vorhanden
1969-10;.;Kein Wert vorhanden
1969-11;4,00;
1969-12;.;Kein Wert vorhanden
1970-01;.;Kein Wert vorhanden
1970-02;4,50;
1970-03;.;Kein Wert vorhanden
1970-04;.;Kein Wert vorhanden
1970-05;5,00;
1970-06;.;Kein Wert vorhanden
1970-07;.;Kein Wert vorhanden
1970-08;5,00;
1970-09;.;Kein Wert vorhanden
1970-10;.;Kein Wert vorhanden
1970-11;5,00;
1970-12;.;Kein Wert vorhanden
1971-01;5,00;
1971-02;5,00;
1971-03;.;Kein Wert vorhanden
1971-04;.;Kein Wert vorhanden
1971-05;4,53;
1971-06;.;Kein Wert vorhanden
1971-07;.;Kein Wert vorhanden
1971-08;4,53;
1971-09;.;Kein Wert vorhanden
1971-10;.;Kein Wert vorhanden
1971-11;4,52;
1971-12;.;Kein Wert vorhanden
1972-01;.;Kein Wert vorhanden
1972-02;4,50;
1972-03;.;Kein Wert vorhanden
1972-04;.;Kein Wert vorhanden
1972-05;4,02;
1972-06;.;Kein Wert vorhanden
1972-07;.;Kein Wert vorhanden
1972-08;4,01;
1972-09;.;Kein Wert vorhanden
1972-10;.;Kein Wert vorhanden
1972-11;4,01;
1972-12;.;Kein Wert vorhanden
1973-01;.;Kein Wert vorhanden
1973-02;4,51;
1973-03;.;Kein Wert vorhanden
1973-04;.;Kein Wert vorhanden
1973-05;4,52;
1973-06;.;Kein Wert vorhanden
1973-07;5,51;
1973-08;5,51;
1973-09;.;Kein Wert vorhanden
1973-10;.;Kein Wert vorhanden
1973-11;5,51;
1973-12;.;Kein Wert vorhanden
1974-01;.;Kein Wert vorhanden
1974-02;5,51;
1974-03;.;Kein Wert vorhanden
1974-04;.;Kein Wert vorhanden
1974-05;5,51;
1974-06;.;Kein Wert vorhanden
1974-07;.;Kein Wert vorhanden
1974-08;5,51;
1974-09;.;Kein Wert vorhanden
1974-10;.;Kein Wert vorhanden
1974-11;5,51;
1974-12;.;Kein Wert vorhanden
1975-01;.;Kein Wert vorhanden
1975-02;5,19;
1975-03;5,03;
1975-04;5,01;
1975-05;4,53;
1975-06;4,14;
1975-07;4,02;
1975-08;4,01;
1975-09;4,01;
1975-10;4,00;
1975-11;4,00;
1975-12;4,00;
1976-01;4,00;
1976-02;4,00;
1976-03;4,00;
1976-04;3,51;
1976-05;3,51;
1976-06;3,51;
1976-07;3,50;
1976-08;3,51;
1976-09;3,51;
1976-10;3,51;
1976-11;3,51;
1976-12;3,50;
1977-01;3,51;
1977-02;3,50;
1977-03;3,50;
1977-04;3,07;
1977-05;3,01;
1977-06;3,00;
1977-07;3,00;
1977-08;3,00;
1977-09;3,01;
1977-10;3,00;
1977-11;3,00;
1977-12;3,00;
1978-01;2,93;
1978-02;2,55;
1978-03;2,52;
1978-04;2,52;
1978-05;2,52;
1978-06;2,51;
1978-07;2,51;
1978-08;2,51;
1978-09;2,51;
1978-10;2,51;
1978-11;2,51;
1978-12;2,51;
1979-01;2,51;
1979-02;2,51;
1979-03;2,62;
1979-04;3,00;
1979-05;3,00;
1979-06;3,00;
1979-07;3,00;
1979-08;3,33;
1979-09;3,50;
1979-10;3,50;
1979-11;3,77;
1979-12;4,00;
1980-01;4,00;
1980-02;4,00;
1980-03;4,77;
1980-04;5,00;
1980-05;5,00;
1980-06;5,00;
1980-07;5,00;
1980-08;4,91;
1980-09;4,52;
1980-10;4,51;
1980-11;4,51;
1980-12;4,51;
1981-01;4,51;
1981-02;4,52;
1981-03;4,97;
1981-04;5,00;
1981-05;5,00;
1981-06;5,00;
1981-07;5,00;
1981-08;5,00;
1981-09;5,00;
1981-10;5,00;
1981-11;5,00;
1981-12;5,00;
1982-01;5,00;
1982-02;5,00;
1982-03;5,00;
1982-04;5,00;
1982-05;5,00;
1982-06;5,00;
1982-07;5,00;
1982-08;5,00;
1982-09;4,97;
1982-10;4,88;
1982-11;4,35;
1982-12;4,02;
1983-01;4,00;
1983-02;4,00;
1983-03;4,00;
1983-04;3,05;
1983-05;3,01;
1983-06;3,01;
1983-07;3,01;
1983-08;3,01;
1983-09;3,01;
1983-10;3,01;
1983-11;3,01;
1983-12;3,01;
1984-01;3,01;
1984-02;3,01;
1984-03;3,01;
1984-04;3,01;
1984-05;3,01;
1984-06;3,01;
1984-07;3,01;
1984-08;3,01;
1984-09;3,01;
1984-10;3,01;
1984-11;3,01;
1984-12;3,01;
1985-01;3,00;
1985-02;3,01;
1985-03;3,00;
1985-04;3,00;
1985-05;3,01;
1985-06;3,01;
1985-07;3,01;
1985-08;3,00;
1985-09;2,85;
1985-10;2,62;
1985-11;2,53;
1985-12;2,53;
1986-01;2,52;
1986-02;2,52;
1986-03;2,51;
1986-04;2,51;
1986-05;2,51;
1986-06;2,50;
1986-07;2,50;
1986-08;2,49;
1986-09;2,49;
1986-10;2,49;
1986-11;2,50;
1986-12;2,50;
1987-01;2,50;
1987-02;2,42;
1987-03;2,22;
1987-04;2,04;
1987-05;2,02;
1987-06;2,02;
1987-07;2,02;
1987-08;2,01;
1987-09;2,01;
1987-10;2,01;
1987-11;2,01;
1987-12;2,01;
1988-01;2,01;
1988-02;2,00;
1988-03;2,00;
1988-04;2,01;
1988-05;2,00;
1988-06;2,00;
1988-07;2,00;
1988-08;2,01;
1988-09;2,02;
1988-10;2,02;
1988-11;2,02;
1988-12;2,01;
1989-01;2,01;
1989-02;2,04;
1989-03;2,34;
1989-04;2,42;
1989-05;2,44;
1989-06;2,45;
1989-07;2,46;
1989-08;2,47;
1989-09;2,47;
1989-10;2,55;
1989-11;2,75;
1989-12;2,79;
1990-01;2,79;
1990-02;2,82;
1990-03;2,82;
1990-04;2,82;
1990-05;2,82;
1990-06;2,81;
1990-07;2,81;
1990-08;2,81;
1990-09;2,81;
1990-10;2,80;
1990-11;2,80;
1990-12;2,80;
1991-01;2,86;
1991-02;2,86;
1991-03;2,85;
1991-04;2,84;
1991-05;2,83;
1991-06;2,82;
1991-07;2,80;
1991-08;2,80;
1991-09;2,81;
1991-10;2,81;
1991-11;2,81;
